period,year,month,quarter,continentId,continentName,value,quantity
2024-10,2024,10,4,1E,ทวีปแอฟริกา,7179469.0,0.0
2024-10,2024,10,4,1G,ประเทศอื่น,0.0,0.0
2024-11,2024,11,4,1C,ทวีปอเมริกาเหนือ,8052842743.0,0.0
2024-11,2024,11,4,1B,ทวีปยุโรป,2821150129.0,0.0
2024-11,2024,11,4,1A,ทวีปเอเชีย,3230133925.0,0.0
2024-11,2024,11,4,1F,ทวีปออสเตรเลีย,6713704.0,0.0
2024-11,2024,11,4,1D,ทวีปอเมริกาใต้,26783997.0,0.0
2024-11,2024,11,4,1E,ทวีปแอฟริกา,14634954.0,0.0
2024-11,2024,11,4,1G,ประเทศอื่น,0.0,0.0
2024-12,2024,12,4,1C,ทวีปอเมริกาเหนือ,7555675520.0,0.0
2024-12,2024,12,4,1B,ทวีปยุโรป,3328126119.0,0.0
2024-12,2024,12,4,1A,ทวีปเอเชีย,2832177368.0,0.0
2024-12,2024,12,4,1F,ทวีปออสเตรเลีย,38601211.0,0.0
2024-12,2024,12,4,1D,ทวีปอเมริกาใต้,31399995.0,0.0
2024-12,2024,12,4,1E,ทวีปแอฟริกา,47878766.0,0.0
2024-12,2024,12,4,1G,ประเทศอื่น,0.0,0.0
2025-01,2025,1,1,1C,ทวีปอเมริกาเหนือ,8074930699.0,0.0
2025-01,2025,1,1,1B,ทวีปยุโรป,3183504677.0,0.0
2025-01,2025,1,1,1A,ทวีปเอเชีย,2738330715.0,0.0
2025-01,2025,1,1,1F,ทวีปออสเตรเลีย,264807828.0,0.0
2025-01,2025,1,1,1E,ทวีปแอฟริกา,45914132.0,0.0
2025-01,2025,1,1,1D,ทวีปอเมริกาใต้,30090957.0,0.0
2025-02,2025,2,1,1C,ทวีปอเมริกาเหนือ,7921662678.0,0.0
2025-02,2025,2,1,1B,ทวีปยุโรป,2337139607.0,0.0
2025-02,2025,2,1,1A,ทวีปเอเชีย,3526594914.0,0.0
2025-02,2025,2,1,1F,ทวีปออสเตรเลีย,26049192.0,0.0
2025-02,2025,2,1,1E,ทวีปแอฟริกา,55156637.0,0.0
2025-02,2025,2,1,1D,ทวีปอเมริกาใต้,22027295.0,0.0
2025-03,2025,3,1,1C,ทวีปอเมริกาเหนือ,8913112855.0,0.0
2025-03,2025,3,1,1B,ทวีปยุโรป,3581815243.0,0.0
2025-03,2025,3,1,1A,ทวีปเอเชีย,3545156197.0,0.0
2025-03,2025,3,1,1F,ทวีปออสเตรเลีย,14098229.0,0.0
2025-03,2025,3,1,1E,ทวีปแอฟริกา,41606484.0,0.0
2025-03,2025,3,1,1D,ทวีปอเมริกาใต้,26168767.0,0.0
2025-04,2025,4,2,1C,ทวีปอเมริกาเหนือ,7571130412.0,0.0
2025-04,2025,4,2,1B,ทวีปยุโรป,3128828988.0,0.0
2025-04,2025,4,2,1A,ทวีปเอเชีย,3018221162.0,0.0
2025-04,2025,4,2,1F,ทวีปออสเตรเลีย,8970234.0,0.0
2025-04,2025,4,2,1E,ทวีปแอฟริกา,51297401.0,0.0
2025-04,2025,4,2,1D,ทวีปอเมริกาใต้,27132806.0,0.0
2025-05,2025,5,2,1C,ทวีปอเมริกาเหนือ,11256061956.0,0.0
2025-05,2025,5,2,1B,ทวีปยุโรป,3060459796.0,0.0
2025-05,2025,5,2,1A,ทวีปเอเชีย,3788226859.0,0.0
2025-05,2025,5,2,1F,ทวีปออสเตรเลีย,39033043.0,0.0
2025-05,2025,5,2,1E,ทวีปแอฟริกา,32392143.0,0.0
2025-05,2025,5,2,1D,ทวีปอเมริกาใต้,23070487.0,0.0
2025-06,2025,6,2,1C,ทวีปอเมริกาเหนือ,10093473397.0,0.0
2025-06,2025,6,2,1B,ทวีปยุโรป,3012408667.0,0.0
2025-06,2025,6,2,1A,ทวีปเอเชีย,3142240747.0,0.0
2025-06,2025,6,2,1F,ทวีปออสเตรเลีย,12397647.0,0.0
2025-06,2025,6,2,1E,ทวีปแอฟริกา,48383351.0,0.0
2025-06,2025,6,2,1D,ทวีปอเมริกาใต้,30581229.0,0.0
2025-07,2025,7,3,1C,ทวีปอเมริกาเหนือ,11215219312.0,0.0
2025-07,2025,7,3,1B,ทวีปยุโรป,2779460877.0,0.0
2025-07,2025,7,3,1A,ทวีปเอเชีย,2901778709.0,0.0
2025-07,2025,7,3,1F,ทวีปออสเตรเลีย,19136360.0,0.0
2025-07,2025,7,3,1E,ทวีปแอฟริกา,16226981.0,0.0
2025-07,2025,7,3,1D,ทวีปอเมริกาใต้,35217001.0,0.0
2025-08,2025,8,3,1C,ทวีปอเมริกาเหนือ,10529389353.0,0.0
2025-08,2025,8,3,1B,ทวีปยุโรป,3108935199.0,0.0
2025-08,2025,8,3,1A,ทวีปเอเชีย,2710789800.0,0.0
2025-08,2025,8,3,1F,ทวีปออสเตรเลีย,14866993.0,0.0
2025-08,2025,8,3,1E,ทวีปแอฟริกา,35518526.0,0.0
2025-08,2025,8,3,1D,ทวีปอเมริกาใต้,59237147.0,0.0
2025-09,2025,9,3,1C,ทวีปอเมริกาเหนือ,11446536839.0,0.0
2025-09,2025,9,3,1B,ทวีปยุโรป,3321828747.0,0.0
2025-09,2025,9,3,1A,ทวีปเอเชีย,3172624643.0,0.0
